,,,,,,,,,
,,,,,,,,,
,,,Sustainability Context,,,,Term Source(s),,
,Sustainability Category,,Positive,,Negative,User-dependant,,,
Term,level 0 ,level 1,Certificate,PosLabel,NegLabel,,source1,source2,source3
over fishing,environment,generalEnvAspect,,,1,,Google Ads Keyword Planner,,
over fishing,environment,animalWelfare,,,1,,Google Ads Keyword Planner,,
destruction of habitats,environment,generalEnvAspect,,,1,,Google Ads Keyword Planner,,
destruction of habitats,environment,animalWelfare,,,1,,Google Ads Keyword Planner,,
indiscriminate fishing of unwanted species,environment,generalEnvAspect,,,1,,Google Ads Keyword Planner,,
indiscriminate fishing of unwanted species,environment,animalWelfare,,,1,,Google Ads Keyword Planner,,
environmentally unfriendly fishing practices,environment,generalEnvAspect,,,1,,Google Ads Keyword Planner,,
environmentally unfriendly fishing practices,environment,animalWelfare,,,1,,Google Ads Keyword Planner,,
Pole and line caught,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
Pole and line caught,environment,animalWelfare,,1,,,Google Ads Keyword Planner,,
farming method,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
animal farming industry,environment,generalEnvAspect,,,1,,Google Ads Keyword Planner,,
animal farming industry,environment,animalWelfare,,,1,,Google Ads Keyword Planner,,
pesticides,health,,,,1,,Google Ads Keyword Planner,,
pesticides,environment,generalEnvAspect,,,1,,Google Ads Keyword Planner,,
herbicides,health,,,,1,,Google Ads Keyword Planner,,
herbicides,environment,generalEnvAspect,,,1,,Google Ads Keyword Planner,,
herbicides,environment,animalWelfare,,,1,,Google Ads Keyword Planner,,
chemicals,health,,,,1,,Google Ads Keyword Planner,,
chemicals,environment,generalEnvAspect,,,1,,Google Ads Keyword Planner,,
chemicals,environment,animalWelfare,,,1,,Google Ads Keyword Planner,,
agricultural chemicals,health,,,,1,,Google Ads Keyword Planner,,
agricultural chemicals,environment,generalEnvAspect,,,1,,Google Ads Keyword Planner,,
agricultural chemicals,environment,animalWelfare,,,1,,Google Ads Keyword Planner,,
agricultural chemicals,economy,,,,1,,Google Ads Keyword Planner,,
ecosystem,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
ecosystem,environment,animalWelfare,,1,,,Google Ads Keyword Planner,,
grass fed,health,,,1,,,Google Ads Keyword Planner,,
responsibly manufactured,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
safer chemicals,health,,,1,,,Google Ads Keyword Planner,,
safer chemicals,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
less energy,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
less energy,economy,,,1,,,Google Ads Keyword Planner,,
carbon offset,environment,carbonEmission,,1,,,Google Ads Keyword Planner,,
reduce energy use,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
reduce energy use,economy,,,1,,,Google Ads Keyword Planner,,
carbon reduction ,environment,carbonEmission,,1,,,Google Ads Keyword Planner,,
low carbon transformation ,environment,carbonEmission,,1,,,Google Ads Keyword Planner,,
climate action ,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
energy efficiency ,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
energy efficiency ,economy,,,1,,,Google Ads Keyword Planner,,
value chain footprint,environment,carbonEmission,,1,,,Google Ads Keyword Planner,,
value chain footprint,economy,,,1,,,Google Ads Keyword Planner,,
sustainable resource use,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
high welfare farming,environment,animalWelfare,,1,,,Google Ads Keyword Planner,,
domesticated farmed animals,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
domesticated farmed animals,environment,animalWelfare,,1,,,Google Ads Keyword Planner,,
domesticated farmed animals,economy,,,1,,,Google Ads Keyword Planner,,
growers,society,sustainingCommunitiesEthicalResponsibility,,1,,,Google Ads Keyword Planner,,
growers,economy,,,1,,,Google Ads Keyword Planner,,
small scale farmers,society,sustainingCommunitiesEthicalResponsibility,,1,,,Google Ads Keyword Planner,,
small-scale farmers,economy,,,1,,,Google Ads Keyword Planner,,
intimately connected to farmers on ground,society,sustainingCommunitiesEthicalResponsibility,,1,,,Ethical Consumer,,
intimately connected to farmers on ground,economy,,,1,,,Ethical Consumer,,
partially owned by farmers,society,sustainingCommunitiesEthicalResponsibility,,1,,,Google Ads Keyword Planner,,
partially owned by farmers,economy,,,1,,,Google Ads Keyword Planner,,
working directly with farmers,society,sustainingCommunitiesEthicalResponsibility,,1,,,Google Ads Keyword Planner,,
working directly with farmers,economy,,,1,,,Google Ads Keyword Planner,,
made in source country,society,sustainingCommunitiesEthicalResponsibility,,1,,,Ethical Consumer,,
made in source country,economy,,,1,,,Ethical Consumer,,
safe working conditions,society,sustainingCommunitiesEthicalResponsibility,,1,,,Google Ads Keyword Planner,,
socially responsible,society,sustainingCommunitiesEthicalResponsibility,,1,,,Google Ads Keyword Planner,,
responsible supply chain ,society,sustainingCommunitiesEthicalResponsibility,,1,,,Google Ads Keyword Planner,,
producers,society,sustainingCommunitiesEthicalResponsibility,,1,,,Google Ads Keyword Planner,,
farmers,society,sustainingCommunitiesEthicalResponsibility,,1,,,Google Ads Keyword Planner,,
workforce,society,sustainingCommunitiesEthicalResponsibility,,1,,,Google Ads Keyword Planner,,
fair share,society,sustainingCommunitiesEthicalResponsibility,,1,,,Google Ads Keyword Planner,,
